4 4.310840
5 5.034647
7 6.198779
9 7.227378
11 8.248046
13 9.315985
16 11.072210
20 13.770686
23 16.083867
28 20.478248
33 25.491758
38 31.046648
45 39.587789
52 48.847855
60 60.098960
69 73.375793
79 88.670179
91 107.560613
104 128.541405
119 153.310396
135 180.285285
154 212.939225
174 248.118660
198 292.071507
223 340.938587
252 402.774677
285 480.978833
321 576.598188
362 699.210481
407 851.040175
457 1040.806931
513 1279.034221
575 1573.117787
645 1941.476873
723 2394.476054
809 2942.558451
905 3611.233486
1011 4414.311712
1130 5390.375536
1261 6536.386011
1407 7873.442591
1570 9405.682598
1750 11102.291467
1950 12941.972215
2172 14883.793335
2418 16927.749881
2690 19185.539649
2993 21875.080924
3327 25080.269441
3699 28799.421755
4109 32904.971699
4564 37248.118433
5068 41527.017235
5625 45463.942550
6242 48931.454153
6925 51878.523903
