Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,EEG Fp1         ,AC Transducer of 17                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
2,EEG F3          ,AC Transducer of 18                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
3,EEG C3          ,AC Transducer of 19                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
4,EEG P3          ,AC Transducer of 20                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
5,EEG O1          ,AC Transducer of 21                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
6,EEG F7          ,AC Transducer of 22                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
7,EEG T5          ,AC Transducer of 24                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
8,EEG Fc1         ,AC Transducer of 25                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
9,EEG Fc5         ,AC Transducer of 26                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
10,EEG Cp1         ,AC Transducer of 27                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
11,EEG Cp5         ,AC Transducer of 28                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
12,EEG F9          ,AC Transducer of 29                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
13,EEG Fz          ,AC Transducer of 30                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
14,EEG Pz          ,AC Transducer of 32                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
15,EEG F4          ,AC Transducer of 34                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
16,EEG C4          ,AC Transducer of 35                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
17,EEG P4          ,AC Transducer of 36                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
18,EEG O2          ,AC Transducer of 37                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
19,EEG F8          ,AC Transducer of 38                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
20,EEG T4          ,AC Transducer of 39                                                             ,uV      ,-4096.000000,4095.875000,-32768,32767,HP:1.591549Hz LP:30Hz N:50Hz                                                    ,512,                                
