4 11.688057
5 15.348956
7 22.586661
9 29.478075
11 35.897540
13 41.824732
16 49.817099
20 58.819620
23 64.304982
28 71.031985
33 75.311783
38 78.266556
45 81.666158
52 84.886322
60 88.599035
69 93.121097
79 98.681787
91 106.236013
104 115.480390
119 127.398722
135 141.336179
154 159.109888
174 178.790715
198 203.347873
223 229.745975
252 261.175394
285 297.726222
321 338.262825
362 384.883024
407 436.328459
457 493.716209
513 558.229085
575 629.986851
645 711.399302
723 802.752684
809 904.849906
905 1020.974215
1011 1151.777724
1130 1300.957097
1261 1465.859538
1407 1650.355275
1570 1857.738786
1750 2088.151518
1950 2341.103528
2172 2609.616971
2418 2879.081706
2690 3144.434929
2993 3401.464647
3327 3647.816387
3699 3869.924240
4109 4048.004792
4564 4188.993854
5068 4305.769155
5625 4426.034745
6242 4579.680696
6925 4779.256581
7679 4988.824634
8514 5215.308109
9437 5466.034383
