4 9.835762
5 12.143586
7 16.236374
9 19.934016
11 23.482971
13 27.065062
16 32.773353
20 41.305411
23 48.513662
28 62.161538
33 77.794192
38 95.282650
45 122.626426
52 152.935201
60 190.683909
69 236.488293
79 290.854080
91 360.104844
104 439.218475
119 534.871507
135 641.152044
154 771.898614
174 913.463637
198 1086.782268
223 1269.568753
252 1482.875864
285 1725.652083
321 1988.894042
362 2285.251581
407 2605.527882
457 2954.835018
513 3337.768898
575 3752.774959
645 4213.804590
723 4723.692534
809 5283.885057
905 5903.992415
1011 6576.614915
1130 7311.905198
1261 8093.508601
1407 8924.289879
1570 9794.468754
1750 10677.838992
1950 11558.232279
2172 12414.183591
2418 13218.555025
2690 13940.973373
2993 14552.090553
3327 15013.743968
3699 15376.827190
4109 15729.829398
4564 16104.320713
5068 16476.213788
5625 16860.184441
6242 17281.116842
6925 17705.928543
7679 18013.569835
8514 18282.140349
9437 18539.459864
10457 18786.579924
11585 19041.876255
12831 19295.355830
14207 19577.856219
15728 19868.019732
17407 20157.474404
19262 20316.197720
21310 20184.510929
23571 20006.383169
26066 19822.988635
28820 19663.815637
31859 19559.300056
35212 19534.721197
