4 6.646159
5 8.480363
7 11.890542
9 14.951264
11 17.692958
13 20.163245
16 23.481049
20 27.423695
23 30.138706
28 34.495198
33 39.181367
38 44.596457
45 53.594596
52 64.192639
60 78.048446
69 95.499156
79 116.775656
91 144.382005
104 176.229325
119 214.793884
135 257.424159
154 309.370263
174 365.028559
198 432.598262
223 503.453422
252 585.800799
285 679.186011
321 780.074968
362 893.089311
407 1014.384231
457 1145.569308
513 1287.962621
575 1439.982485
645 1604.730566
723 1780.586151
809 1966.089576
905 2164.710399
1011 2377.578143
1130 2610.566054
1261 2862.289417
1407 3134.845612
1570 3429.603886
1750 3741.692284
1950 4075.975020
2172 4422.396025
2418 4753.307396
2690 5089.186625
2993 5446.484580
3327 5829.759708
3699 6246.327852
4109 6690.097763
4564 7176.141815
5068 7696.236936
5625 8228.310769
6242 8740.773098
6925 9213.226322
7679 9651.014329
8514 10062.578856
9437 10394.523774
